X,Y,Z,focal length,aim x,aim y,aim z
m,m,m,m,m,m,m
44.3,166.91,5.2,204.6398741692,0,0,115
61.42,170.86,5.2,212.1829305104,0,0,115
50.58,188.45,5.2,223.8923377429,0,0,115
69.99,193.75,5.2,233.43886266,0,0,115
81.97,176.18,5.2,223.1916515016,0,0,115
101.96,177.58,5.2,232.3500333549,0,0,115
123.08,195.08,5.2,255.4621944633,0,0,115
118.51,213.98,5.2,268.1195638144,0,0,115
113.94,232.83,5.2,281.5105193416,0,0,115
106.52,251.65,5.2,294.5000388795,0,0,115
97.39,269.1,5.2,306.5218786645,0,0,115
76.27,261.1,5.2,293.3366034098,0,0,115
87.11,246.3,5.2,283.3864536283,0,0,115
68.84,235.48,5.2,268.7858180783,0,0,115
76.27,216.82,5.2,254.7235075528,0,0,115
94.53,226.09,5.2,268.5305364386,0,0,115
99.1,207.24,5.2,254.6080666436,0,0,115
138.49,217.93,5.2,280.5868938493,0,0,115
143.06,200.48,5.2,269.6561402972,0,0,115
144.77,180.48,5.2,256.1004164386,0,0,115
164.18,181.68,5.2,268.3630652679,0,0,115
163.04,162.96,5.2,255.331242115,0,0,115
182.45,163.09,5.2,268.2207870393,0,0,115
183.59,181.9,5.2,280.8005308043,0,0,115
182.45,201.71,5.2,293.3103588351,0,0,115
164.18,201.79,5.2,282.3655724411,0,0,115
159.62,220.67,5.2,293.6491670344,0,0,115
133.93,238.2,5.2,294.5038622837,0,0,115
138.49,271.82,5.2,324.2246636208,0,0,115
156.76,281.28,5.2,340.2178360992,0,0,115
153.34,304.25,5.2,357.9626490292,0,0,115
132.21,293.48,5.2,340.0970956947,0,0,115
115.66,282.65,5.2,324.5370519679,0,0,115
108.24,302.9,5.2,339.882843933,0,0,115
89.97,290.84,5.2,323.6333519587,0,0,115
80.83,312.37,5.2,340.8292032676,0,0,115
65.42,297.39,5.2,323.6921817097,0,0,115
53.43,316.24,5.2,338.9963753494,0,0,115
41.44,301.48,5.2,323.5173936591,0,0,115
46.01,267.81,5.2,293.0787542624,0,0,115
30.59,257.25,5.2,281.3704863698,0,0,115
41.44,240.88,5.2,267.9486667256,0,0,115
50.58,224.66,5.2,255.1205440571,0,0,115
26.03,227.51,5.2,253.9574787243,0,0,115
35.16,201.77,5.2,232.3863130651,0,0,115
16.89,193.71,5.2,223.3044473359,0,0,115
30.59,178.97,5.2,212.1839979829,0,0,115
14.04,170.81,5.2,203.5416854111,0,0,115
0.34,181.73,5.2,212.3251009655,0,0,115
-16.22,172.33,5.2,204.9798948678,0,0,115
-31.63,178.92,5.2,212.2942846616,0,0,115
-46.48,165.74,5.2,204.1719324491,0,0,115
-54.47,150.76,5.2,194.2977058537,0,0,115
-39.05,143.96,5.2,185.2172348892,0,0,115
-27.07,157.36,5.2,193.7807898116,0,0,115
-13.36,146.54,5.2,183.5987505404,0,0,115
0.34,135.95,5.2,174.7528486177,0,0,115
11.18,147.96,5.2,184.5892575423,0,0,115
0.34,158.76,5.2,193.0308089399,0,0,115
-16.22,193.71,5.2,223.2547703858,0,0,115
0.34,207.29,5.2,234.5747209313,0,0,115
-36.2,203.05,5.2,233.6574041198,0,0,115
-49.9,188.41,5.2,223.7060081893,0,0,115
-71.02,193.71,5.2,233.7165901257,0,0,115
-83.01,177.58,5.2,224.6805654702,0,0,115
-63.6,169.49,5.2,211.7259079565,0,0,115
-73.88,156.07,5.2,204.6268293748,0,0,115
-104.14,178.92,5.2,234.3363949539,0,0,115
-145.24,179.07,5.2,255.3757280949,0,0,115
-165.22,181.84,5.2,269.1086657839,0,0,115
-163.51,163.06,5.2,255.6953728561,0,0,115
-184.63,161.6,5.2,268.810038689,0,0,115
-180.07,143.84,5.2,255.2864871081,0,0,115
-178.35,125.01,5.2,243.9103577136,0,0,115
-196.62,123.74,5.2,256.957296063,0,0,115
-202.9,141.43,5.2,270.6046838102,0,0,115
-205.76,158.75,5.2,282.1254687192,0,0,115
-224.02,156.07,5.2,294.2768174695,0,0,115
-222.88,135.9,5.2,283.1966532288,0,0,115
-216.6,117.16,5.2,269.6257880842,0,0,115
-236.58,110.22,5.2,283.151169519,0,0,115
-242.29,128.91,5.2,295.5981600078,0,0,115
-248.57,148.06,5.2,309.4589609302,0,0,115
-269.7,143.96,5.2,324.8362843033,0,0,115
-263.42,123.74,5.2,311.0590361973,0,0,115
-255.99,168.28,5.2,325.4306047378,0,0,115
-275.4,169.5,5.2,341.5134697197,0,0,115
-298.24,168.23,5.2,359.5893081002,0,0,115
-306.23,191.08,5.2,377.2855938146,0,0,115
-281.68,192.41,5.2,358.3591362028,0,0,115
-260.56,192.6,5.2,342.1144744088,0,0,115
-241.15,188.43,5.2,325.1387817533,0,0,115
-242.29,212.76,5.2,340.6278052362,0,0,115
-224.02,210.03,5.2,326.1189986799,0,0,115
-224.02,232.83,5.2,341.2488964085,0,0,115
-204.61,227.51,5.2,325.0878222881,0,0,115
-184.63,203.09,5.2,295.6177007556,0,0,115
-165.22,201.9,5.2,283.0499927575,0,0,115
-158.94,220.67,5.2,293.2800922327,0,0,115
-186.34,181.83,5.2,282.5611163979,0,0,115
-205.76,180.47,5.2,294.8942836001,0,0,115
-158.94,133.3,5.2,234.7058874421,0,0,115
-160.08,114.4,5.2,225.3197869695,0,0,115
-140.67,118.51,5.2,214.2165002982,0,0,115
-122.41,122.43,5.2,205.0106167983,0,0,115
-117.84,139.96,5.2,213.38019402,0,0,115
-139.53,139.91,5.2,226.0519166032,0,0,115
-142.39,99.41,5.2,205.4587554718,0,0,115
-158.94,90.25,5.2,213.2206043046,0,0,115
-157.8,74.04,5.2,206.0067998878,0,0,115
-172.64,61.88,5.2,213.7515941461,0,0,115
-151.52,54.97,5.2,195.0283346081,0,0,115
-137.82,64.44,5.2,187.6243747491,0,0,115
-139.53,80.48,5.2,194.9402249409,0,0,115
-122.41,84.65,5.2,184.9482916926,0,0,115
-117.84,69.94,5.2,175.5958689719,0,0,115
-98.43,75.21,5.2,165.5326221625,0,0,115
-95,53.63,5.2,154.7811903947,0,0,115
-92.15,37.56,5.2,148.18372414,0,0,115
-75.59,43.03,5.2,140.0766540149,0,0,115
-76.73,59.2,5.2,146.4519474094,0,0,115
-60.18,60.55,5.2,139.0826189716,0,0,115
-76.73,77.99,5.2,155.0031386779,0,0,115
-73.88,98.13,5.2,164.7537292446,0,0,115
-104.14,106.37,5.2,184.9750158805,0,0,115
-122.41,102.21,5.2,193.615939943,0,0,115
-178.35,103.56,5.2,233.6438231582,0,0,115
-178.35,84.68,5.2,225.9103027752,0,0,115
-198.33,90.16,5.2,243.9665028236,0,0,115
-195.48,71.25,5.2,235.2552505259,0,0,115
-216.6,83.34,5.2,256.7433652502,0,0,115
-113.27,46.99,5.2,164.6031378802,0,0,115
0.34,84.68,5.2,138.6609461961,0,0,115
29.45,106.31,5.2,155.6443336585,0,0,115
47.72,114.37,5.2,165.5709373652,0,0,115
55.14,95.41,5.2,155.5619738239,0,0,115
74.55,96.79,5.2,164.2621277106,0,0,115
16.89,123.69,5.2,166.2544080619,0,0,115
58,252.94,5.2,281.777720198,0,0,115
15.75,271.79,5.2,293.5539245181,0,0,115
-45.33,267.86,5.2,293.0184780863,0,0,115
-58.47,252.99,5.2,281.9197066542,0,0,115
-76.73,261.2,5.2,293.5455210014,0,0,115
-85.87,244.99,5.2,281.8684036922,0,0,115
-105.85,251.65,5.2,294.2583643671,0,0,115
-96.71,269.04,5.2,306.2537929561,0,0,115
-126.97,317.64,5.2,359.2667400414,0,0,115
-119.55,338.01,5.2,374.9653351978,0,0,115
-99.57,327.02,5.2,359.043598049,0,0,115
-90.44,348.65,5.2,376.5531252028,0,0,115
-71.02,333.91,5.2,358.602521603,0,0,115
-60.18,356.71,5.2,378.0472146439,0,0,115
-43.62,337.96,5.2,358.0163487887,0,0,115
-31.63,358.14,5.2,375.9265307211,0,0,115
-14.51,340.5,5.2,358.0598135787,0,0,115
0.34,359.34,5.2,375.7411225831,0,0,115
-14.51,380.89,5.2,396.6658192988,0,0,115
0.34,403.88,5.2,418.5393768811,0,0,115
11.18,424.04,5.2,438.1677235945,0,0,115
-11.65,424.04,5.2,438.1799677073,0,0,115
-32.77,402.45,5.2,418.4446383932,0,0,115
-48.19,379.66,5.2,398.1457417831,0,0,115
-68.17,398.53,5.2,418.9622295625,0,0,115
-87.58,418.61,5.2,441.5434616207,0,0,115
-81.87,444.27,5.2,464.902753057,0,0,115
-55.61,449.61,5.2,466.1519754329,0,0,115
-71.02,469.74,5.2,487.6018334666,0,0,115
-99.57,464.42,5.2,487.4999090256,0,0,115
-108.7,438.73,5.2,465.1405625185,0,0,115
-136.11,430.73,5.2,464.8766556841,0,0,115
-160.08,422.62,5.2,465.0691462568,0,0,115
-160.08,395.72,5.2,440.7674724841,0,0,115
-165.22,370.11,5.2,419.9227315828,0,0,115
-142.39,353.95,5.2,397.0032173673,0,0,115
-146.95,328.38,5.2,376.1432797486,0,0,115
-154.37,304.27,5.2,358.422055404,0,0,115
-175.5,313.64,5.2,375.8009308131,0,0,115
-178.35,290.79,5.2,358.362367723,0,0,115
-201.19,297.27,5.2,375.3703624422,0,0,115
-202.9,274.67,5.2,358.7033020478,0,0,115
-225.74,282.65,5.2,378.0285837076,0,0,115
-227.45,308.27,5.2,398.5221893446,0,0,115
-253.14,314.85,5.2,418.6483274778,0,0,115
-253.14,288.08,5.2,398.9059864179,0,0,115
-279.97,293.49,5.2,420.2090206076,0,0,115
-303.38,337.85,5.2,467.1595946783,0,0,115
-329.07,344.44,5.2,488.8578714719,0,0,115
-307.94,364.81,5.2,489.8667366744,0,0,115
-281.68,354.05,5.2,465.5653175442,0,0,115
-260.56,371.45,5.2,466.8218676326,0,0,115
-285.11,382.25,5.2,489.345291793,0,0,115
-260.56,398.56,5.2,488.6692411028,0,0,115
-237.73,386.35,5.2,466.7310953858,0,0,115
-227.45,363.44,5.2,442.5812649672,0,0,115
-225.74,336.54,5.2,419.8496864355,0,0,115
-201.19,325.55,5.2,398.1410034146,0,0,115
-195.48,352.65,5.2,417.8881344331,0,0,115
-172.64,340.54,5.2,397.2758502602,0,0,115
-134.39,380.98,5.2,418.6436103657,0,0,115
-110.42,364.86,5.2,396.7006881769,0,0,115
-99.57,390.3,5.2,417.4976825085,0,0,115
-80.16,372.77,5.2,396.7860109681,0,0,115
-27.07,452.28,5.2,466.2038430773,0,0,115
-14.51,475.13,5.2,487.8679093771,0,0,115
0.34,452.2,5.2,465.3396561653,0,0,115
27.74,452.24,5.2,466.2044242604,0,0,115
15.75,476.48,5.2,489.2211083958,0,0,115
44.3,473.9,5.2,488.466723534,0,0,115
71.7,469.74,5.2,487.7013405764,0,0,115
81.97,445.67,5.2,466.2583723645,0,0,115
55.14,448.09,5.2,464.6300761897,0,0,115
89.97,418.57,5.2,441.9858434385,0,0,115
68.84,398.58,5.2,419.1193171401,0,0,115
80.83,374.08,5.2,398.1524523345,0,0,115
100.24,390.35,5.2,417.7047044265,0,0,115
111.09,366.06,5.2,397.9911452533,0,0,115
89.97,347.23,5.2,375.1257306557,0,0,115
99.1,327.02,5.2,358.9135416782,0,0,115
117.37,337.86,5.2,374.140530416,0,0,115
126.5,316.27,5.2,357.8896518482,0,0,115
147.63,328.38,5.2,376.4094596314,0,0,115
170.46,340.5,5.2,396.2990052978,0,0,115
175.03,314.89,5.2,376.6261448705,0,0,115
177.88,292.01,5.2,359.1200001392,0,0,115
201.86,297.38,5.2,375.8169288364,0,0,115
201.86,274.64,5.2,358.0930454505,0,0,115
180.74,266.52,5.2,340.2291845213,0,0,115
163.04,258.46,5.2,324.7147258749,0,0,115
184.16,243.54,5.2,324.4729221368,0,0,115
201.86,251.52,5.2,340.6843260263,0,0,115
223.56,255.84,5.2,357.0563249685,0,0,115
221.84,232.76,5.2,339.7738118219,0,0,115
